config,model,chunking,search,grounding,id,tier,discriminator,lang,source,expected_behavior,expected_answer,query,rag_answer,no_rag_answer,retrieved_docs,retrieval_hit,answer_correct,abstained,hallucinated,faithful
baseline,exaone3.5,fixed,similarity,1,T1,1,RAG_gap + cross_lingual,en,01_kpop_demon_hunters,answer_from_corpus,2026 Golden Globe Best Original Song; 2026 Golden Globe Best Animated Feature; 2026 Academy Award Best Animated Feature; 2026 Academy Award Best Original Song. (골든글로브 주제가상·장편애니메이션상 + 아카데미 장편애니메이션상·주제가상),What awards did KPop Demon Hunters win in 2026?,The document does not state any awards that 'KPop Demon Hunters' won in 2026.,"As of my last update in 2023, there is no widely recognized information about an entity called ""KPop Demon Hunters"" winning specific awards in 2026, particularly within the realm of K-pop entertainment. Awards in the K-pop industry vary widely each year and typically involve established groups, artists, and industry figures rather than abstract concepts or fictional entities like ""KPop Demon Hunters.""  If ""KPop Demon Hunters"" refers to a specific group, project, or concept within the K-pop industry that emerged after my last update, details about their awards would be contingent upon their actual activities and achievements post-2023. For the most accurate and current information, checking recent entertainment news sources or official announcements from relevant K-pop organizations would be advisable.",01_kpop_demon_hunters|01_kpop_demon_hunters|01_kpop_demon_hunters,1,,,,
baseline,exaone3.5,fixed,similarity,1,T1,1,RAG_gap + cross_lingual,ko,01_kpop_demon_hunters,answer_from_corpus,2026 Golden Globe Best Original Song; 2026 Golden Globe Best Animated Feature; 2026 Academy Award Best Animated Feature; 2026 Academy Award Best Original Song. (골든글로브 주제가상·장편애니메이션상 + 아카데미 장편애니메이션상·주제가상),〈케이팝 데몬 헌터스〉가 2026년에 받은 상은?,이 문서는 〈케이팝 데몬 헌터스〉가 2026년에 받은 상에 대한 정보를 제공하지 않습니다. 따라서 해당 질문에 대한 답변을 이 문서에서 제공할 수 없습니다. 문서는 케이팝의 인기 변화와 시장 동향에 초점을 맞추고 있습니다.,"죄송합니다, 하지만 현재까지 ""케이팝 데몬 헌터스"" (K-pop Demon Hunters)라는 그룹이나 작품에 대한 구체적인 정보, 특히 2026년에 받은 상에 대한 공식 기록을 확인할 수 없습니다. 이는 가상의 예시일 수도 있고, 실제 존재하는 작품이나 그룹일 경우, 최신 업데이트된 데이터베이스나 공식 출처를 통해 확인해 보시는 것이 가장 정확할 것입니다. 만약 추가 정보나 다른 질문이 있으시다면 도와드리겠습니다.",07_K-pop|07_K-pop|05_parasite,0,,,,
baseline,exaone3.5,fixed,similarity,1,T2,1,RAG_gap,ko,02_bts,answer_from_corpus,정규 5집 《ARIRANG(아리랑)》 / 2026-03-20,방탄소년단이 2026년에 발매한 정규 앨범의 이름과 발매일은?,문서는 방탄소년단의 2026년 정규 앨범 이름과 발매일에 대해 언급하고 있지 않습니다. 따라서 해당 정보를 제공할 수 없습니다.,현재까지 공식적으로 방탄소년단(BTS)의 2026년 정규 앨범에 대한 정확한 정보는 공개되지 않았습니다. 앨범 제목과 정확한 발매일은 향후 공식 발표를 통해 확인하실 수 있습니다. 방탄소년단의 공식 채널이나 소속사의 공지를 지켜보시는 것이 가장 정확한 정보를 얻는 방법일 것입니다. 혹시 최신 뉴스나 공식 발표가 있으시다면 공유해 주시면 더 정확한 정보를 제공해 드릴 수 있습니다.,01_kpop_demon_hunters|02_bts|04_squid_game,1,,,,
baseline,exaone3.5,fixed,similarity,1,T3,1,RAG_gap,en,03_blackpink,answer_from_corpus,"February 27 — mini-album 3 'DEADLINE' (2월 27일, 미니 3집 'DEADLINE').","On which date did BLACKPINK release their new album, and what is its name?","BLACKPINK released their second mini-album titled 'KILL THIS LOVE' on April 5, 2019.","BLACKPINK released their album ""**The Album**"" on **June 29, 2023**.",03_blackpink|03_blackpink|03_blackpink,1,,,,
baseline,exaone3.5,fixed,similarity,1,T4,1,RAG_gap,ko,04_squid_game,answer_from_corpus,시즌1: 2021-09-17 / 시즌2: 2024-12-26 / 시즌3: 2025-06-27,"〈오징어 게임〉 시즌1, 시즌2, 시즌3의 방송(공개) 날짜는?","The document does not state the broadcast dates for 〈오징어 게임〉 seasons 1, 2, and 3.","""오징어 게임""의 각 시즌 방송 날짜는 다음과 같습니다:  * **시즌 1:**      * **넷플릭스 공개:** 2021년 9월 17일     * **한국 방송 시작:** 2021년 9월 17일 (넷플릭스 동시 방영)  * **시즌 2:**      * **넷플릭스 공개:** 2022년 9월 23일     * **한국 방송 시작:** 2022년 9월 23일 (넷플릭스 동시 방영)  * **시즌 3:**      * **넷플릭스 공개:** 2023년 9월 6일     * **한국 방송 시작:** 2023년 9월 6일 (넷플릭스 동시 방영)  모두 넷플릭스를 통해 전 세계에 동시 공개되었습니다.",01_kpop_demon_hunters|07_K-pop|07_K-pop,0,,,,
baseline,exaone3.5,fixed,similarity,1,X1,2,cross_lingual (lexical gap: Korean Wave <-> 한류),en,06_Hallyu,answer_from_corpus,"한류(韓流, Korean Wave, Hallyu): 대한민국의 대중문화를 포함한 한국 관련 것들이 한국 이외의 나라에서 인기를 얻는 현상. '한류'는 1990년대 한국 문화의 영향력이 타국에서 급성장하며 등장한 신조어.",What does the term 'Korean Wave' refer to?,"The term 'Korean Wave' (한류) refers to the phenomenon where elements of South Korea's popular culture, including its dramas, music (K-pop), movies, and other cultural products, gain significant popularity in countries outside of South Korea.","The term ""Korean Wave,"" also known as **Hallyu** in Korean, refers to the **growing global popularity and influence of South Korean culture, particularly in music (K-pop), entertainment (drama), film, fashion, and gaming**.   It describes how South Korean cultural products have gained significant traction and fandom worldwide, creating a distinct cultural phenomenon beyond Korea's borders.   Key aspects include:  * **Cultural Export:** Successful export of Korean entertainment and lifestyle trends to international markets. * **Fan Communities:** The emergence of large, passionate fan bases globally for Korean celebrities and content. * **Soft Power:** Enhancement of South Korea's soft power through its cultural influence and diplomacy.   The Korean Wave exemplifies how cultural exports can reshape global perceptions and preferences.",06_Hallyu|06_Hallyu|06_Hallyu,1,,,,
baseline,exaone3.5,fixed,similarity,1,X1,2,cross_lingual (lexical gap: Korean Wave <-> 한류),ko,06_Hallyu,answer_from_corpus,"한류(韓流, Korean Wave, Hallyu): 대한민국의 대중문화를 포함한 한국 관련 것들이 한국 이외의 나라에서 인기를 얻는 현상. '한류'는 1990년대 한국 문화의 영향력이 타국에서 급성장하며 등장한 신조어.",'한류'란 무엇을 가리키나?,"'한류'는 대한민국의 대중문화, 특히 음악을 중심으로 해외로 빠르게 확산되고 있는 한국 문화 현상을 가리킵니다. 초기에는 다른 지역에서 '하일한류', '일진한류', '한풍'과 같은 표현으로 언급되었으며, 주로 음악의 해외 진출을 통해 형성된 현상으로 설명됩니다.","'한류'는 **한국 문화의 전 세계적인 인기 현상**을 의미합니다.   특히 **음악, 드라마, 영화, 뷰티, 패션 등** 한국에서 탄생한 콘텐츠와 트렌드가 아시아를 넘어 북미, 유럽 등 전 세계적으로 큰 관심과 사랑을 받는 것을 지칭합니다.   LG AI Research에서 개발한 EXAONE과 같은 첨단 기술 또한 이러한 한류 트렌드를 더욱 확산시키는 데 기여하고 있습니다.   예를 들어, EXAONE은 한국어 처리 능력을 통해 한국 콘텐츠를 더 효과적으로 제작하고 전파하는 데 도움을 줄 수 있습니다.",06_Hallyu|01_kpop_demon_hunters|01_kpop_demon_hunters,1,,,,
baseline,exaone3.5,fixed,similarity,1,X2,2,cross_lingual (transliteration gap: Palme d'Or <-> 황금종려상),en,05_parasite,answer_from_corpus,"황금종려상 (Palme d'Or, 2019).",Which top prize did Parasite win at the Cannes Film Festival?,"The document does not state which specific top prize ""Parasite"" won at the Cannes Film Festival. It mentions that ""Parasite"" won the Palme d’Or at Cannes but does not detail other potential top prizes beyond this information.","Parasite won the **Palme d'Or**, the top prize, at the Cannes Film Festival in 2019.",05_parasite|05_parasite|05_parasite,1,,,,
baseline,exaone3.5,fixed,similarity,1,X2,2,cross_lingual (transliteration gap: Palme d'Or <-> 황금종려상),ko,05_parasite,answer_from_corpus,"황금종려상 (Palme d'Or, 2019).",〈기생충〉이 칸 영화제에서 받은 최고상은?,"문서는 기생충이 칸 영화제에서 최우수 작품상을 포함하여 여러 부문에서 상을 받았다고 언급하고 있지만, 정확히 어떤 최고상을 받았는지에 대해서는 명시적으로 언급하지 않았습니다. 따라서 정확한 최고상 명칭을 확인할 수 없습니다.   문서가 명확히 밝히지 않았으므로, 정확한 최고상을 특정하기는 어렵습니다.","영화 〈기생충〉은 칸 영화제에서 **황금종려상**을 수상했습니다. 이는 영화제의 최고 영예로, 한국 영화사상 최초로 이 상을 받은 작품입니다.",05_parasite|05_parasite|05_parasite,1,,,,
baseline,exaone3.5,fixed,similarity,1,X3,2,cross_lingual (no cognate -> pure semantic: barrier <-> 혼문),en,01_kpop_demon_hunters,answer_from_corpus,혼문 (Honmoon).,What is the name of the magical barrier that seals demons away in KPop Demon Hunters?,The document does not state the name of the magical barrier that seals demons away in KPop Demon Hunters.,"In the context of ""KPop Demon Hunters,"" which appears to be a fictional or creative concept rather than an officially named series or game, there isn't a widely recognized or officially documented magical barrier by name specifically associated with sealing demons. If such a concept exists within a particular story, fan fiction, or localized adaptation, it might be referred to by a name created for that specific narrative.  For accurate information, you might want to refer to any official materials or communities dedicated to this content where creators or enthusiasts might provide details about specific magical elements or barriers used within their storyline. If you have a specific source or context in mind, sharing that could help in providing a more precise answer!",01_kpop_demon_hunters|01_kpop_demon_hunters|01_kpop_demon_hunters,1,,,,
